course_id,course_code,course_name,account_id,created_at
3145,CNV-SANDBOX,Canvas Core Team Sandbox,86,2020-05-05T16:03:19Z
3146,CNV-GROW,Growing with Canvas,86,2020-05-05T16:05:38Z
3147,Admin,Admin Guide,15,2020-05-08T18:13:52Z
3148,IntroCDO_MBA22,Career Foundations - Incoming MBA Class of 2022 ,36,2020-05-11T19:13:28Z
3149,Template1,Template 1,2,2020-05-12T16:17:55Z
3150,Template 2,Template 2,2,2020-05-12T16:21:00Z
3151,Template 3,Template 3,2,2020-05-12T16:24:41Z
3152,Resource Library,Canvas@Cornell Resource Library,2,2020-05-12T17:27:18Z
3155,CNV.VIS-test1,Visibility Testing,86,2020-05-26T13:11:55Z
3156,CNV-RESOURCES,MIT Canvas Resources for Instructors,15,2020-05-26T14:08:15Z
3157,LearnTechCommunity,Learning Technologist Community,15,2020-05-26T14:12:08Z
3158,LearnTechResources,Learning Technologist Resources,15,2020-05-26T14:14:29Z
3159,Tufts,Tufts,2,2020-05-26T16:46:08Z
3160,Test_Sandbox,FeedbackFruit_Test_Sandbox,36,2020-05-26T17:25:59Z
3163,21G.X00,LMS Start,8,2020-05-27T03:26:51Z
3165,1.000,1.000 Intro to Comp Programming,93,2020-05-28T02:21:31Z
3166,11.244,"11.244 Race, History, Built Environs",89,2020-05-28T02:21:31Z
3167,10.974,10.974 Seminar: Chem Engr Nanotech,97,2020-05-28T02:21:31Z
3168,1.URG,1.URG URG: Rsrch in Civil & Env Engr,93,2020-05-28T02:21:31Z
3169,11.250,11.250 Transportation Research Design,89,2020-05-28T02:21:31Z
3170,1.008,1.008 Eng Solutions to Soc Change,93,2020-05-28T02:21:32Z
3171,10.975,10.975 Seminar: Polymer Sci & Engr,97,2020-05-28T02:21:32Z
3172,1.URW,1.URW Undergrad Research Wellesley,93,2020-05-28T02:21:32Z
3173,11.301,11.301 Intro Urban Design & Devel,89,2020-05-28T02:21:32Z
3174,1.009,1.009 Climate Change,93,2020-05-28T02:21:32Z
3175,10.976,"10.976 Process Design, Oper, Control",97,2020-05-28T02:21:32Z
3176,10.01,10.01 Ethics for Engineers,97,2020-05-28T02:21:32Z
3177,11.305,11.305 Plan/Dev Case Studies:RE Value,89,2020-05-28T02:21:32Z
3178,1.010,1.010 Probability & Causal Inference,93,2020-05-28T02:21:32Z
3179,10.977,10.977 Seminar in Electrocatalysis,97,2020-05-28T02:21:32Z
3180,10.10,10.10 Intro to Chem Engineering,97,2020-05-28T02:21:32Z
3181,11.308,11.308 Ecological Urbanism Seminar,89,2020-05-28T02:21:32Z
3182,1.018,1.018 Fundamentals of Ecology,93,2020-05-28T02:21:32Z
3183,10.978,10.978 Adv Materials for Energy Apps,97,2020-05-28T02:21:32Z
3184,10.28,10.28 Chemical-Biological Engr Lab,97,2020-05-28T02:21:33Z
3185,11.309,11.309 Photography as Inquiry,89,2020-05-28T02:21:33Z
3186,1.022,1.022 Introduction to Network Models,93,2020-05-28T02:21:33Z
3187,10.981,10.981 Sem: Colloid Interface Science,97,2020-05-28T02:21:33Z
3188,10.302,10.302 Transport Processes,97,2020-05-28T02:21:33Z
3189,11.328,11.328 Urban Design Skills,89,2020-05-28T02:21:33Z
3190,1.032,1.032 Advanced Soil Mechanics,93,2020-05-28T02:21:33Z
3191,10.982,10.982 Sem:Exp Colloid & Surface Chem,97,2020-05-28T02:21:33Z
3192,10.321,10.321 Design: Mammal Sys & Synth Bio,97,2020-05-28T02:21:33Z
3193,11.345,11.345 Entrprnrshp: Construct &RE Dev,89,2020-05-28T02:21:33Z
3194,1.041,1.041 Transportation Systms Modeling,93,2020-05-28T02:21:33Z
3195,10.983,10.983 React Proc & Microfab Chem Sys,97,2020-05-28T02:21:33Z
3196,10.34,10.34 Numerical Methods: Chem Eng,97,2020-05-28T02:21:34Z
3197,11.351,11.351 Real Estate Ventures I,89,2020-05-28T02:21:34Z
3198,1.050,1.050 Why are there no monsters on Earth? A new introduction to Engineering Mechanics,93,2020-05-28T02:21:34Z
